,unverheiratet,lieben,lieben,perfekt,erzählen,töten,perfekt,töten,lieben,Marseille,Schiff,Feld,lieben,Leutnant,Gewehr,nachdenken,lieben,streicheln,Tochter,einzigartig,Fürst,Vorhang,wahnsinnig,einzigartig,perfekt,Unwetter
00371-00,0.0,0.0002656042496679947,1.0215548064153642e-05,5.107774032076821e-05,2.0431096128307284e-05,2.0431096128307284e-05,5.107774032076821e-05,3.064664419246093e-05,1.0215548064153642e-05,0.0,1.0215548064153642e-05,0.0002451731535396874,0.0002656042496679947,2.0431096128307284e-05,2.0431096128307284e-05,0.00018387986515476556,0.0,0.00018387986515476556,0.00032689753805291655,0.0,4.086219225661457e-05,0.0,8.172438451322914e-05,0.0,5.107774032076821e-05,1.0215548064153642e-05
00287-00,0.0,0.0001353429713934174,0.00012303906490310673,0.00016405208653747565,1.845585973546601e-05,3.075976622577668e-05,0.00016405208653747565,8.202604326873783e-06,0.00012303906490310673,8.202604326873783e-06,2.0506510817184457e-06,8.202604326873783e-06,0.00013739362247513587,6.151953245155337e-06,2.0506510817184457e-06,9.638060084076695e-05,0.00011688711165795139,1.845585973546601e-05,1.845585973546601e-05,0.00010458320516764073,1.4354557572029119e-05,5.5367579206398034e-05,6.562083461499026e-05,0.00010458320516764073,0.00016405208653747565,2.0506510817184457e-06
00689-00,2.0606276163619478e-05,0.00011573387982306831,3.528471945825253e-05,4.375305212823314e-05,1.4396165538967033e-05,2.455816474294376e-05,4.375305212823314e-05,1.3267054516302953e-05,3.528471945825253e-05,5.645555113320405e-07,2.8227775566602027e-06,0.00020154631754553846,0.00011770982411273044,1.3549332271968973e-05,1.4113887783301013e-06,4.798721846322344e-05,3.754294150358069e-05,2.540499800994182e-05,0.00016400337604195777,3.9518885793242836e-05,4.262394110556906e-05,3.951888579324284e-06,2.258222045328162e-05,3.9518885793242836e-05,4.375305212823314e-05,2.5404998009941822e-06
00663-00,5.1943277940488986e-06,7.924679583228448e-05,3.662667034265249e-05,6.393018823444799e-05,1.1587346617493697e-05,2.4772947940848592e-05,6.393018823444799e-05,1.7447613872318095e-05,3.662667034265249e-05,4.262012548963199e-06,6.659394607754998e-06,4.714851382290539e-05,8.204374156754157e-05,2.7969457352570993e-06,7.858085637150898e-06,5.7137605734537885e-05,3.636029455834229e-05,2.5572075293779192e-05,8.017911107737018e-05,4.235374970532179e-05,2.0244559607575195e-05,8.390837205771298e-06,3.422928828386069e-05,4.235374970532179e-05,6.393018823444799e-05,4.528388333273399e-06
00739-04,0.0,0.00016431924882629107,3.5211267605633805e-05,8.215962441314554e-05,5.868544600938967e-05,3.5211267605633805e-05,8.215962441314554e-05,1.1737089201877934e-05,3.5211267605633805e-05,2.347417840375587e-05,2.347417840375587e-05,3.5211267605633805e-05,0.00016431924882629107,0.00016431924882629107,0.0,2.347417840375587e-05,3.5211267605633805e-05,3.5211267605633805e-05,7.042253521126761e-05,2.347417840375587e-05,0.0,4.694835680751174e-05,3.5211267605633805e-05,2.347417840375587e-05,8.215962441314554e-05,2.347417840375587e-05
00730-00,1.7881730236217656e-06,7.510326699211416e-05,2.6822595354326485e-05,5.0068844661409435e-05,5.364519070865297e-06,2.5034422330704718e-05,5.0068844661409435e-05,1.609355721259589e-05,2.6822595354326485e-05,1.7881730236217656e-06,3.397528744881355e-05,0.0001359011497952542,7.510326699211416e-05,2.6822595354326485e-05,3.0398941401570016e-05,6.437422885038357e-05,3.9339806519678846e-05,2.3246249307082954e-05,4.649249861416591e-05,6.79505748976271e-05,1.0729038141730593e-05,0.0,5.72215367558965e-05,6.79505748976271e-05,5.0068844661409435e-05,1.7881730236217656e-06
00688-00,4.678401197670707e-06,8.421122155807272e-05,7.856962011382274e-05,0.0001005856257499202,1.100800281804872e-05,5.18752132800546e-05,0.0001005856257499202,2.1740805565646224e-05,7.856962011382274e-05,1.2934403311207248e-05,2.3529606023579143e-05,1.3622403487335294e-05,8.39360214876215e-05,1.7337604438426736e-05,1.389760355778651e-05,7.801921997292032e-05,7.829442004337154e-05,2.6006406657640106e-05,2.958400757350594e-05,7.03136180002862e-05,4.609601180057902e-05,1.0732802747597504e-05,5.2838413526633866e-05,7.03136180002862e-05,0.0001005856257499202,1.0457602677146285e-05
00614-00,0.0,1.2081672103419113e-05,0.0,1.2081672103419113e-05,0.0,1.2081672103419113e-05,1.2081672103419113e-05,0.0,0.0,7.249003262051468e-05,0.0,0.0,1.2081672103419113e-05,0.00012081672103419114,7.249003262051468e-05,0.0,2.4163344206838226e-05,1.2081672103419113e-05,3.624501631025734e-05,0.0,6.040836051709557e-05,3.624501631025734e-05,0.0,0.0,1.2081672103419113e-05,0.0
00554-00,2.6643524862214916e-06,9.820042020644926e-05,7.041502999299655e-05,7.498249139794769e-05,1.8269845619804513e-05,2.0553576322280075e-05,7.498249139794769e-05,1.4083005998599311e-05,7.041502999299655e-05,2.6643524862214916e-06,2.9307877348436406e-05,2.435979415973935e-05,9.972290734143296e-05,0.0,1.5224871349837093e-06,7.536311318169362e-05,6.394445966931579e-05,4.110715264456015e-05,7.422124783045583e-05,6.889254285801285e-05,2.283730702475564e-05,4.948083188697055e-06,3.692031302335495e-05,6.889254285801285e-05,7.498249139794769e-05,6.851192107426692e-06
00386-00,1.1157601115760111e-05,0.00012831241283124128,5.578800557880056e-05,8.926080892608089e-05,3.626220362622036e-05,0.00013110181311018132,8.926080892608089e-05,4.184100418410042e-05,5.578800557880056e-05,2.7894002789400277e-06,5.578800557880056e-05,1.394700139470014e-05,0.00013389121338912134,1.1157601115760111e-05,2.789400278940028e-05,5.578800557880056e-05,6.415620641562064e-05,5.857740585774059e-05,4.184100418410042e-05,6.694560669456067e-05,0.00011436541143654115,8.368200836820084e-06,3.905160390516039e-05,6.694560669456067e-05,8.926080892608089e-05,8.368200836820084e-06
00392-00,6.612881893929375e-06,0.00014107481373716,0.00010580611030287,9.919322840894062e-05,2.2042939646431248e-05,4.849446722214875e-05,9.919322840894062e-05,4.40858792928625e-06,0.00010580611030287,0.0,0.0,8.8171758585725e-06,0.00014107481373716,1.7634351717145e-05,2.204293964643125e-06,5.069876118679187e-05,9.478464047965437e-05,8.8171758585725e-06,0.00011682758012608561,9.919322840894062e-05,9.037605255036811e-05,0.0,4.188158532821937e-05,9.919322840894062e-05,9.919322840894062e-05,4.40858792928625e-06
00420-00,7.2851783047390085e-06,9.10647288092376e-05,7.64943721997596e-05,9.592151434573028e-05,2.428392768246336e-05,4.2496873444310884e-05,9.592151434573028e-05,1.821294576184752e-05,7.64943721997596e-05,8.499374688862176e-06,4.856785536492672e-06,2.1855534914217026e-05,9.10647288092376e-05,5.9495622822035237e-05,3.6425891523695043e-06,7.042339027914375e-05,6.678080112677425e-05,1.942714214597069e-05,4.613946259668039e-05,6.435240835852791e-05,1.0927767457108513e-05,8.499374688862176e-06,4.006848067606455e-05,6.435240835852791e-05,9.592151434573028e-05,6.07098192061584e-06
00341-00,4.489539373260304e-06,9.428032683846638e-05,7.033611684774475e-05,0.00011972104995360809,8.979078746520608e-06,4.1902367483762834e-05,0.00011972104995360809,1.9454670617461316e-05,7.033611684774475e-05,1.197210499536081e-05,2.9930262488402024e-06,5.836401185238395e-05,9.428032683846638e-05,5.387447247912364e-05,4.6391906857023134e-05,8.230822184310557e-05,9.278381371404627e-05,1.7958157493041215e-05,8.679776121636586e-05,8.081170871868546e-05,7.781868246984526e-05,7.632216934542515e-05,4.4895393732603036e-05,8.081170871868546e-05,0.00011972104995360809,2.9930262488402024e-06
00316-00,8.710801393728223e-06,9.291521486643438e-05,2.613240418118467e-05,4.9361207897793264e-05,5.807200929152149e-06,0.0001132404181184669,4.9361207897793264e-05,1.1614401858304297e-05,2.613240418118467e-05,0.0,2.9036004645760743e-06,1.4518002322880372e-05,9.872241579558653e-05,0.0,4.645760743321719e-05,3.193960511033682e-05,3.193960511033682e-05,2.032520325203252e-05,0.00022067363530778165,2.613240418118467e-05,0.0003310104529616725,8.710801393728223e-06,3.193960511033682e-05,2.613240418118467e-05,4.9361207897793264e-05,8.710801393728223e-06
00349-00,4.199210548416898e-06,8.398421096833795e-05,7.978500041992105e-05,0.00010498026371042244,3.779289493575208e-05,2.0996052742084487e-05,0.00010498026371042244,1.679684219366759e-05,7.978500041992105e-05,0.0,0.0,3.359368438733518e-05,8.398421096833795e-05,8.398421096833796e-06,4.199210548416898e-06,6.718736877467037e-05,7.558578987150416e-05,2.5195263290501386e-05,8.398421096833796e-06,6.718736877467037e-05,2.9394473838918284e-05,4.199210548416898e-06,4.6191316032585876e-05,6.718736877467037e-05,0.00010498026371042244,4.199210548416898e-06
00481-00,1.3416515730864695e-05,4.0249547192594086e-05,2.683303146172939e-05,2.683303146172939e-05,3.354128932716174e-05,0.00013416515730864696,2.683303146172939e-05,6.708257865432348e-05,2.683303146172939e-05,0.0,6.708257865432347e-06,6.708257865432347e-06,6.708257865432348e-05,0.0,6.708257865432347e-06,2.0124773596297043e-05,1.3416515730864695e-05,0.0,4.0249547192594086e-05,2.0124773596297043e-05,2.0124773596297043e-05,0.0,2.683303146172939e-05,2.0124773596297043e-05,2.683303146172939e-05,1.3416515730864695e-05
00483-00,8.224698770407534e-06,0.00012748283094131678,6.990993954846404e-05,0.00010143795150169292,3.838192759523516e-05,3.7011144466833904e-05,0.00010143795150169292,1.5078614412413811e-05,6.990993954846404e-05,4.112349385203767e-06,2.7415662568025113e-06,7.539307206206905e-05,0.00013022439719811928,0.0,2.7415662568025113e-06,4.386506010884018e-05,6.990993954846404e-05,2.7415662568025114e-05,0.00012474126468451426,7.402228893366781e-05,6.8539156420062786e-06,6.8539156420062786e-06,2.6044879439623857e-05,7.402228893366781e-05,0.00010143795150169292,8.224698770407534e-06
00568-00,4.645113340765515e-06,4.9702712746191006e-05,1.8812709030100334e-05,3.646413972500929e-05,1.834819769602378e-05,3.2980304719435156e-05,3.646413972500929e-05,2.5315867707172055e-05,1.8812709030100334e-05,4.645113340765515e-06,2.229654403567447e-05,4.947045707915273e-05,5.504459308807135e-05,3.716090672612412e-06,4.78446674098848e-05,5.365105908584169e-05,2.4154589371980676e-05,2.0206243032329988e-05,6.596060943887031e-05,2.1367521367521368e-05,0.00012959866220735785,5.341880341880342e-06,2.8567447045707916e-05,2.1367521367521368e-05,3.646413972500929e-05,1.579338535860275e-05
00737-00,0.0,0.0,0.0,1.49812734082397e-05,0.0,5.99250936329588e-05,1.49812734082397e-05,1.49812734082397e-05,0.0,0.0,0.0002397003745318352,0.0,0.0,1.49812734082397e-05,0.0,4.4943820224719104e-05,0.0,1.49812734082397e-05,0.0,2.99625468164794e-05,1.49812734082397e-05,0.0,0.0001048689138576779,2.99625468164794e-05,1.49812734082397e-05,4.4943820224719104e-05
00497-00,3.5574528637495556e-05,0.00034625874540495673,0.00011146685639748607,0.0001233250326099846,2.6087987667496738e-05,7.826396300249022e-05,0.0001233250326099846,1.422981145499822e-05,0.00011146685639748607,4.7432704849994074e-06,4.7432704849994074e-06,3.083125815249615e-05,0.00034625874540495673,1.6601446697497926e-05,4.7432704849994074e-06,3.320289339499585e-05,0.00011146685639748607,2.3716352424997034e-05,0.00039843472073995017,0.00011858176212498517,1.6601446697497926e-05,4.7432704849994074e-06,3.320289339499585e-05,0.00011858176212498517,0.0001233250326099846,4.7432704849994074e-06
00445-00,2.7351100608288478e-05,0.00012472101877379545,6.783072950855543e-05,0.00010502822633582775,1.203448426764693e-05,2.297492451096232e-05,0.00010502822633582775,1.8598748413636166e-05,6.783072950855543e-05,1.203448426764693e-05,3.829154085160387e-05,3.610345280294079e-05,0.00012690910682245854,1.7504704389304626e-05,1.4222572316310009e-05,5.142006914358234e-05,5.579624524090849e-05,1.5316616340641546e-05,0.00010940440243315391,6.345455341122927e-05,7.658308170320773e-06,6.564264145989234e-06,3.1727276705614635e-05,6.345455341122927e-05,0.00010502822633582775,8.752352194652313e-06
00606-00,5.155569303740366e-06,0.00011342252468228804,0.00010826695537854767,0.0001340448018972495,1.2888923259350913e-05,8.248910885984585e-05,0.0001340448018972495,1.0311138607480731e-05,0.00010826695537854767,0.00012888923259350913,5.155569303740366e-06,2.835563117057201e-05,0.00011600030933415822,5.155569303740366e-06,5.155569303740366e-06,4.897790838553347e-05,0.00012631144794163896,1.804449256309128e-05,2.5777846518701826e-05,0.00011857809398602841,0.000324800866135643,1.5466707911221095e-05,6.702240094862475e-05,0.00011857809398602841,0.0001340448018972495,0.0
00512-00,4.477277815088426e-05,0.00024625027982986343,0.00011193194537721066,0.00011193194537721066,2.238638907544213e-05,0.0001343183344526528,0.00011193194537721066,0.0,0.00011193194537721066,0.0,2.238638907544213e-05,2.238638907544213e-05,0.00024625027982986343,2.238638907544213e-05,0.0,4.477277815088426e-05,6.71591672263264e-05,4.477277815088426e-05,4.477277815088426e-05,8.954555630176852e-05,4.477277815088426e-05,0.0,4.477277815088426e-05,8.954555630176852e-05,0.00011193194537721066,0.0
00495-00,1.9409184426070417e-05,7.375490081906759e-05,3.3642586338522054e-05,4.6582042622568996e-05,1.4233401912451639e-05,4.5288096994164305e-05,4.6582042622568996e-05,5.175782513618778e-06,3.3642586338522054e-05,2.587891256809389e-06,1.9409184426070417e-05,2.3291021311284498e-05,7.116700956225819e-05,9.057619398832861e-06,9.057619398832861e-06,6.469728142023473e-05,3.8818368852140834e-05,5.822755327821125e-05,3.8818368852140834e-05,4.2700205737354915e-05,3.234864071011736e-05,1.4233401912451639e-05,3.7524423223736135e-05,4.2700205737354915e-05,4.6582042622568996e-05,1.2939456284046945e-06
00471-00,8.667013347200554e-06,8.667013347200555e-05,4.3335066736002776e-05,6.066909343040388e-05,1.7334026694401108e-05,4.766857340960305e-05,6.066909343040388e-05,4.3335066736002776e-05,4.3335066736002776e-05,4.333506673600277e-06,1.7334026694401108e-05,0.00013867221355520887,9.967065349280638e-05,1.3000520020800832e-05,3.033454671520194e-05,7.366961345120471e-05,4.766857340960305e-05,4.3335066736002776e-05,3.9001560062402496e-05,3.9001560062402496e-05,4.333506673600277e-06,8.667013347200554e-06,2.6001040041601664e-05,3.9001560062402496e-05,6.066909343040388e-05,8.667013347200554e-06
00262-00,0.0,4.6816479400749066e-05,0.0,4.6816479400749066e-05,0.0,4.6816479400749066e-05,4.6816479400749066e-05,0.0,0.0,0.0,0.0,0.0,4.6816479400749066e-05,0.0,0.0,4.6816479400749066e-05,4.6816479400749066e-05,4.6816479400749066e-05,0.0,9.363295880149813e-05,4.6816479400749066e-05,0.0,4.6816479400749066e-05,9.363295880149813e-05,4.6816479400749066e-05,0.0
00192-00,0.0,0.00014558232931726907,4.5180722891566266e-05,6.0240963855421684e-05,5.020080321285141e-05,0.00010040160642570282,6.0240963855421684e-05,6.0240963855421684e-05,4.5180722891566266e-05,2.0080321285140562e-05,2.5100401606425704e-05,0.00014056224899598393,0.00015060240963855423,0.0001255020080321285,9.036144578313253e-05,3.5140562248995983e-05,5.522088353413655e-05,1.5060240963855421e-05,0.0002710843373493976,5.020080321285141e-05,1.0040160642570281e-05,0.0,6.0240963855421684e-05,5.020080321285141e-05,6.0240963855421684e-05,5.020080321285141e-06
00121-00,1.1463758147456683e-05,0.00015721725459369166,9.171006517965346e-05,0.00012610133962202353,2.456519603026432e-05,1.6376797353509547e-05,0.00012610133962202353,6.550718941403819e-06,9.171006517965346e-05,0.0,6.550718941403819e-06,6.223182994333629e-05,0.00015721725459369166,0.0,1.6376797353509548e-06,5.568111100193246e-05,0.00010317382332711015,3.9304313648422916e-05,1.9652156824211458e-05,9.989846385640824e-05,8.188398676754773e-06,3.2753594707019097e-06,7.042022862009106e-05,9.989846385640824e-05,0.00012610133962202353,1.1463758147456683e-05
