documente_id,Jahr_ED,genre_label_normalized,
00725-00,1913,R,
00726-00,1914,R,
00727-00,1903,R,
00728-00,1866,0E,
00728-01,1866,0E,
00728-02,1866,0E,
00729-00,1866,0E,
00729-01,1866,0E,
00729-02,1866,0E,
00730-00,1865,0E,
00730-01,1865,0E,
00730-02,1865,0E,
00730-03,1865,0E,
00730-04,1865,0E,
00730-05,1865,0E,
00731-00,1865,0E,
00731-01,1865,0E,
00731-02,1865,0E,
00732-00,1865,M,
00733-00,1865,N,
00733-01,1865,N,
00733-02,1865,N,
00733-03,1865,N,
00733-04,1865,N,
00734-00,1865,0E,
00734-01,1865,0E,
00734-02,1865,0E,
00734-03,1865,0E,
00734-04,1865,0E,
00734-05,1865,0E,
00734-06,1865,0E,
00735-00,1865,N,
00735-01,1865,N,
00735-02,1865,N,
00735-03,1865,N,
00735-04,1865,N,
00735-05,1865,N,
00735-06,1865,N,
00736-00,1866,0P,
00737-00,1866,0E,
00738-00,1866,0E,
00738-02,1866,0E,
00739-04,1866,0E,
00740-00,1866,0X_Essay,
00741-00,1866,0P,
00742-01,1866,0P,
00743-00,1866,0P,
00744-00,1866,0P,
00745-00,1866,0P,
00746-01,1876,R,
00746-02,1876,R,
00746-03,1876,R,
00746-04,1876,R,
00746-05,1876,R,
00746-06,1876,R,
00746-07,1876,R,
00746-08,1876,R,
00746-09,1876,R,
00747-00,1876,0PB,
00748-00,1876,0PE,
00749-01,1865,0PE,
00749-02,1865,0PE,
